8.3 2000
350 200
9936 52551 391 391

Coordinates
143       2.3515       2.5354          4.4
144            3       2.8325       4.0142
145            3            2            5
146            2            3            5
147            3            3            4
148       2.7299        2.122       4.6041
149        2.383       2.3438       4.5501
150       2.2284       2.6732       4.4416
151            3       2.1085       4.5281
152       2.5069       2.2179         4.57
153       1.9915       2.8539       4.9103
154        2.136       2.4514            5
155            3       2.2027       4.3565
156       2.0595       2.7384       4.6655
157       2.1786            3       4.3721
158       2.8389       2.2755       4.2783
159       2.6157       2.0712       4.7321
160       2.0667            3       4.5328
161            3       2.6079       4.0306
162            3       2.0018       4.6867
163       2.7681       2.5431       4.0872
164       2.4557       2.4135       4.3222
165       2.5785            3       4.0397
166       2.7264       2.3858       4.1942
167       2.6678       2.2734       4.3186
168       2.4443       2.8463       4.1207
169       2.0457       2.5665       4.8962
170       1.9872            3       4.7026
171       2.6121       2.1998       4.4264
172            3       2.3085        4.198
173       2.0952       2.7566       4.5057
174       2.4147       2.5617       4.2332
175       2.2355       2.8962       4.2731
176       2.3272       2.7548       4.2131
177       2.2857            3       4.2099
178       2.7475       2.7459       3.9967
179       1.9642       2.7442            5
180       2.6023       2.5036       4.1419
181       2.1802       2.4339         4.61
182            3       1.9375       4.8557
183       2.4783       2.0618            5
184        2.877       1.9567       4.7787
185       2.1079       2.5873       4.5621
186       2.8539       2.1023       4.4192
187       2.7021       1.9715        4.853
188       2.6948       2.9072       3.9651
189       2.1088       2.8519       4.3913
190       2.3079       2.1586            5
191       2.5583       2.7306       4.0385
192       2.6487        1.965            5
193       2.4918       2.6376       4.0987
194       2.0241       2.5879       4.7091
195       2.0794       2.4429       4.7713
196       1.9872       2.8539       4.5894
197       2.4484       2.0975       4.6887
198       2.2407       2.4374       4.4225
199       2.2781       2.1844       4.7984
200        2.246       2.2849        4.616
201       2.8949       1.9616       4.6265
202       2.8895       2.7262       3.9249
203       2.7466       1.9609         4.68
204       2.8467        1.895        4.936
205       2.5256       1.9969       4.8677
206       2.8566            3       3.8872
207       2.3345       2.2691       4.4686
208       2.7833        2.017       4.4981
209       1.9656       2.5482            5
210       1.8791            3       4.8654
211       2.2405       2.5782        4.275
212       1.8932       2.8667       4.7763
213       2.1374       2.2554            5
214       2.3838            3       4.0403
215        2.757       2.1183       4.3185
216       2.4791        2.855       3.9899
217       2.4067        2.253       4.3651
218       2.8192       1.8682            5
219            3        2.398       4.0236
220       2.3473       2.1564       4.5768
221       2.1567       2.7359       4.2638
222       2.6271       2.5947       3.9898
223       2.1627       2.5084       4.3789
224       2.8698       2.2808       4.1018
225       2.6763            3       3.8713
226       2.5998       1.9793       4.5794
227       2.8775       2.1218        4.224
228       2.5624       2.2817       4.1743
229       2.1145       2.4163       4.4825
230            3       1.9955       4.3729
231       2.0931       2.2629       4.7951
232       1.9078            3       4.5328
233       2.0471       2.6224       4.3975
234        2.722       2.2015        4.164
235            3       2.6888       3.8521
236            3       1.9143       4.5127
237       2.2984       2.4221       4.2278
238       2.8209       2.8665       3.8266
239         2.51       2.4216       4.0758
240       1.9482       2.6527       4.5449
241       2.0754       2.3288       4.6392
242       2.3941        2.366       4.1828
243            3            3          3.8
244          1.8            3            5
245            3          1.8            5
246       2.6713       2.4215       3.9986
247       1.9999        2.543       4.5117
248       1.9837            3       4.3554
249       2.4657       2.0318        4.514
250            3       2.0924       4.2025
251       2.5905       1.8941       4.7365
252        2.196       2.8251       4.1138
253       2.0967            3       4.1957
254       2.7719       2.5846       3.8852
255       1.9121       2.5006       4.7972
256       1.9709       2.4685       4.6313
257       1.7938        2.841            5
258        1.967       2.3522            5
259        2.417        1.972       4.6941
260       2.0649       2.8833       4.2208
261       2.5592       2.1165        4.277
262       2.1819       2.1505       4.6625
263       2.6508       2.7134       3.8581
264        1.881        2.618       4.6607
265       1.8469       2.7721       4.6319
266       2.5964       1.8372        4.906
267            3       1.7868       4.7689
268       2.7528       1.8622       4.5825
269            3       2.4941       3.8712
270       2.4854            3       3.8687
271       2.1988       2.6462       4.1149
272       1.7938            3       4.6896
273       2.8566        1.769       4.8752
274       2.3092       1.9626            5
275       2.4748       2.6596        3.922
276       2.8904       1.8767       4.4691
277       2.4797       1.8658            5
278        2.307        2.744       3.9912
279       2.2947       2.5011       4.0948
280       2.5678       1.9994       4.3851
281            3       2.2023       4.0333
282       2.8243       2.4402       3.8897
283       1.7952        2.645            5
