8.3 2000
350 200
9368 44554 328 328

Coordinates
290       2.0195            3       4.1721
291       2.0698       2.2344       4.5554
292            3       1.7143            5
293       1.7143            3            5
294        1.774       2.7753       4.6828
295            3       1.7167          4.8
296       1.7167            3          4.8
297       1.8963       2.3144            5
298       1.7108       2.8381            5
299       1.7477       2.6853       4.8501
300       2.8175       2.3165       3.9089
301       2.8374       2.4774       3.8184
302       1.8165       2.4645       4.9037
303       2.7935       2.2047        3.987
304       2.2691       2.0107       4.5617
305       2.8224       1.7249       4.7802
306       2.0111       2.1881       4.7314
307       2.3084       2.3305       4.1136
308       2.7984         2.92       3.6999
309        2.788       2.0765       4.0831
310            3       2.3633       3.8439
311       2.1061       2.8423       4.0377
312       2.2556       2.1953       4.2592
313       2.7349       1.7609       4.6134
314       2.5108       2.4087       3.9191
315       2.3633            3       3.8368
316            3       1.8901       4.2743
317       2.2629       1.8971            5
318       2.5499       1.8063       4.6346
319       2.4455       1.7934            5
320       2.6457       2.4987        3.822
321       2.7812       1.8779       4.3197
322            3       2.1814       3.9487
323       1.9317       2.7133       4.2563
324       1.7633       2.8661       4.5144
325       2.4401       1.7979       4.8244
326       2.1814            3       3.9416
327       2.0119       2.3196       4.4072
328       1.9392       2.1961       4.8547
329            3       1.8184       4.3685
330       2.3472       2.5784       3.9085
331        1.911        2.314       4.6272
332       2.5978       1.9301       4.3001
333            3       2.5453       3.7391
334       1.7122       2.6281            5
335        2.135       2.3324       4.2233
336       2.8836       1.9483       4.1738
337       2.3424       2.4396       3.9715
338       1.8174            3       4.3614
339       2.5452            3       3.7319
340       2.4483       2.2643       4.0137
341        2.443       2.7067        3.803
342       2.1025       2.0596       4.6229
343            3       1.7091       4.5898
344       1.7662       2.5721       4.6387
345       2.6866       2.2547       3.9097
346       2.0803       2.0008            5
347       2.5877       1.8323       4.4414
348         2.57       2.1563       4.0257
349       1.6607       2.8529       4.8167
350       2.6282       1.6896            5
351        2.237       2.0789       4.3411
352            3       2.2526       3.8533
353       1.8373            3       4.2765
354       2.6142       2.6593       3.7308
355       2.1629       2.5675       4.0055
356            3       2.4341       3.7478
357       2.7822       2.7317       3.6676
358        2.301       1.8596        4.672
359            3       1.9994       4.0533
360       1.9994            3       4.0465
361            3       1.6495       4.7013
362       1.6485            3       4.6952
363       2.2622        2.742        3.856
364       2.3759       2.0101       4.2502
365       2.3845            3       3.7531
366            3       2.7273       3.6343
367       1.8037       2.3284       4.7572
368       2.2023            3       3.8576
369        1.868       2.4872       4.3694
370        1.719       2.5118       4.7455
371            3        2.071       3.9589
372       2.7272            3        3.627
373       1.9948       2.6538       4.0856
374        2.099       2.7427       3.9517
375       1.6545            3       4.5909
376       2.5117       2.0384       4.0943
377       1.8171       2.8731        4.246
378       2.6447       1.6599       4.7491
379            3       2.6157       3.6423
380       2.1708       1.8978       4.6999
381       1.7138       2.4182            5
382       2.1398       1.8861       4.8887
383        2.342       2.1272       4.1022
384       2.5666            3       3.6486
385       1.8978       2.1045            5
386       1.9608       2.8378       4.0444
387       2.7992       1.7087       4.4406
388       1.7497       2.7371       4.3734
389       2.3688       1.8355       4.4757
390       2.0741       2.0711       4.4419
391       2.5243       2.8168       3.6688
392        2.464       2.5193       3.7684
393       2.8108       1.5859            5
394       2.0201            3        3.962
395       2.7622        2.538       3.6679
